Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
18,14,18,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.99,
        ""sadness"": 0.0,
        ""surprise"": 0.008
",0,0,0,0,0.001,0.99,0,0.008,Neutral,536a56d7-3a38-4701-87b6-1f53dfdb8a10,0.12,brown,14
19,7,19,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.996,
        ""sadness"": 0.004,
        ""surprise"": 0.0
",0,0,0,0,0,0.996,0.004,0,Neutral,8ae982fe-159a-4043-aebe-81fd7a41d0e9,0.01,brown,7
20,7,20,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.104,
        ""neutral"": 0.893,
        ""sadness"": 0.002,
        ""surprise"": 0.001
",0,0,0,0,0.104,0.893,0.002,0.001,Neutral,ad04b967-63d3-4262-806f-564f06c75eab,0.03,brown,7
21,7,21,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.98,
        ""sadness"": 0.019,
        ""surprise"": 0.0
",0,0,0,0,0,0.98,0.019,0,Neutral,e7fab867-7eab-435c-aa97-6ee76672309f,0.98,blond,7
22,5,22,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.01,
        ""neutral"": 0.988,
        ""sadness"": 0.001,
        ""surprise"": 0.0
",0,0.001,0,0,0.01,0.998,0.001,0,Neutral,14d94468-6a7b-4608-a39b-19b7a094de9c,0.02,brown,5
23,4,23,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.867,
        ""sadness"": 0.122,
        ""surprise"": 0.009
",0,0,0,0,0.001,0.867,0.122,0.009,Neutral,da630d35-1e95-47f2-99e1-7aab015aca4e,0.02,brown,4
24,4,24,"        ""anger"": 0.0,
        ""contempt"": 0.012,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.072,
        ""neutral"": 0.848,
        ""sadness"": 0.067,
        ""surprise"": 0.0
",0,0.012,0,0,0.072,0.848,0.067,0,Happiness,4b44a70e-1a3e-4eec-a94f-bb3a9c36dc6b,0.1,blond,4
25,6,25,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.998,
        ""sadness"": 0.002,
        ""surprise"": 0.0
",0,0,0,0,0,0.998,0.002,0,Neutral,49796cf4-139d-4850-9b2a-1bdc2711cd60,0.03,black,6
26,4,26,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.994,
        ""sadness"": 0.006,
        ""surprise"": 0.0
",0,0,0,0,0,0.994,0.006,0,Neutral,c3bcde17-75de-4250-ae25-9fdf4620dcdf,0.5,brown,4
27,5,27,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,098313b8-dfd8-418f-9791-2324e2a9a892,0.04,brown,5
28,NO VIDEO,28,,,,,,,,,,,,,,NO VIDEO
29,36,29,"        ""anger"": 0.001,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.001,
        ""happiness"": 0.003,
        ""neutral"": 0.806,
        ""sadness"": 0.003,
        ""surprise"": 0.185
",0.001,0,0,0.001,0.003,0.806,0.003,0.185,Neutral,9f4d9899-f760-4247-a891-ac6943eece81,0.12,brown,36
30,4,30,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.743,
        ""sadness"": 0.256,
        ""surprise"": 0.0
",0,0.001,0,0,0,0.743,0.256,0,Neutral,47cd8bf3-be40-48d5-a611-346b16e6b0bd,0.13,brown,4
31,5,31,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Neutral,e8b70317-5de2-4bdc-a8f9-50ae73432ea6,0.12,brown,5
32,1,32,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.019,
        ""neutral"": 0.971,
        ""sadness"": 0.001,
        ""surprise"": 0.009
",0,0,0,0,0.019,0.971,0.001,0.009,Neutral,abe2cc9b-7ffe-4ba0-8878-77b72be20696,0.09,brown,1
33,1,33,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.982,
        ""sadness"": 0.003,
        ""surprise"": 0.012
",0,0.001,0,0,0.001,0.982,0.003,0.012,Neutral,056d633f-35d5-4957-981b-eac8047b7e9b,0.08,blond,1
34,7,34,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 1.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,0,1,0,0,Neutral,96d649d8-aae6-4452-909c-fb090a03e39f,0.09,brown,7
35,5,35,"        ""anger"": 0.108,
        ""contempt"": 0.002,
        ""disgust"": 0.005,
        ""fear"": 0.002,
        ""happiness"": 0.006,
        ""neutral"": 0.847,
        ""sadness"": 0.024,
        ""surprise"": 0.005
",0.108,0.002,0.005,0.002,0.006,0.847,0.024,0.005,Neutral,5858477c-e370-484e-a3e4-195ded5f6e26,0.01,blond,5
36,4,36,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,1,0,0,0,Happiness,eae1ae0f-d1f4-4198-9485-e4a4796ca71a,0.05,blond,4
37,6,37,"        ""anger"": 0.0,
        ""contempt"": 0.002,
        ""disgust"": 0.0,
        ""fear"": 0.002,
        ""happiness"": 0.392,
        ""neutral"": 0.545,
        ""sadness"": 0.047,
        ""surprise"": 0.011
",0,0.002,0,0.002,0.392,0.545,0.047,0.011,Neutral,e2f25f67-80a7-4d7f-8dec-6ae6d375346e,0.05,red,6
38,3,38,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.959,
        ""sadness"": 0.0,
        ""surprise"": 0.039
",0,0,0,0,0.002,0.959,0,0.039,Neutral,c721a9b2-d0ae-446b-b0df-629592c659fe,0.09,blond,3
39,4,39,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.529,
        ""neutral"": 0.008,
        ""sadness"": 0.462,
        ""surprise"": 0.0",0,0,0,0,0.529,0.008,0.462,0,Happiness,ba386c7a-fcf3-4abd-b901-8d2d505a2860,0.04,brown,4
40,7,40,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.998,
        ""neutral"": 0.002,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.998,0.002,0,0,Happiness,3d6aa434-1d1f-4e81-8475-c9f8a7bf1fae,0.12,blond,7
41,NO VIDEO,41,,,,,,,,,,,,,,NO VIDEO
