Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
78,4,78,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.001,
        ""happiness"": 0.0,
        ""neutral"": 0.822,
        ""sadness"": 0.002,
        ""surprise"": 0.175",0,0,0,0.001,0,0.822,0.002,0.125,Neutral,31340cb0-4393-415d-8bba-b5bf000e416b,0.02,blond,4
79,4,79,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.939,
        ""sadness"": 0.006,
        ""surprise"": 0.054",0,0,0,0,0,0.939,0.006,0.054,Neutral,d2a7bbb8-1e9a-4916-8f98-fcd2de15963c,0.01,blond,4
80,8,80,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.963,
        ""neutral"": 0.036,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.963,0.036,0,0,Neutral,51c38157-08d0-402d-89be-eecac7304526,0.03,brown,8
81,NO VIDEO,81,,,,,,,,,,,,,,NO VIDEO
82,6,82,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.402,
        ""sadness"": 0.0,
        ""surprise"": 0.598",0,0,0,0,0,0.402,0,0.598,Neutral,2456e62b-8ad2-4b90-826a-abb0a10c7ff7,0.26,brown,6
83,6,83,"        ""anger"": 0.0,
        ""contempt"": 0.002,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.971,
        ""sadness"": 0.025,
        ""surprise"": 0.0",0,0.002,0,0,0.002,0.971,0.025,0,Neutral,60af1e96-8d2e-489f-a8b7-f1ea8bf300f2,0.01,brown,6
84,6,84,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,1,0,0,0,Happiness,a0bd56aa-3a35-45e4-b5ea-3e70e3e0c48a,0.02,blond,6
85,6,85,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.999,
        ""neutral"": 0.001,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,0.999,0.001,0,0,Happiness,fe110309-c614-45e4-8e03-c4ff5ed71ee0,0.03,blond,6
86,6,86,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.001,
        ""happiness"": 0.82,
        ""neutral"": 0.17,
        ""sadness"": 0.004,
        ""surprise"": 0.004",0,0.001,0,0.001,0.82,0.17,0.004,0.004,Neutral,6b116909-c05c-4bf4-a458-c7f775f3dae6,0.05,black,6
87,6,87,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.997,
        ""sadness"": 0.001,
        ""surprise"": 0.0
",0,0,0,0,0.002,0.997,0.001,0,Neutral,66bfbb75-fa6c-42cb-a4a5-c10bcb43b149,0.03,black,6
88,6,88,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.371,
        ""sadness"": 0.0,
        ""surprise"": 0.628
",0,0,0,0,0,0.371,0,0.628,Neutral,d9899a78-14e2-494d-8671-cee73523771c,0.04,black,6
89,5,89,"        ""anger"": 0.0,
        ""contempt"": 0.002,
        ""disgust"": 0.001,
        ""fear"": 0.0,
        ""happiness"": 0.485,
        ""neutral"": 0.331,
        ""sadness"": 0.181,
        ""surprise"": 0.0
",0,0.002,0.001,0,0.485,0.331,0.181,0,Neutral,784e5355-f4c3-4966-8330-afd7c7e2582b,0.02,brown,5
90,15,90,"        ""anger"": 0.003,
        ""contempt"": 0.0,
        ""disgust"": 0.001,
        ""fear"": 0.0,
        ""happiness"": 0.054,
        ""neutral"": 0.936,
        ""sadness"": 0.002,
        ""surprise"": 0.004
",0.003,0,0.001,0,0.054,0.936,0.002,0.004,Neutral,4d1071d2-0ae3-4a9e-bbe1-f386399270f4,0.01,brown,15
91,5,91,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 1.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,0,1,0,0,Neutral,d514f92f-39ff-4fb2-bd6b-a7075551d9a4,0.21,brown,5
92,6,92,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.985,
        ""sadness"": 0.014,
        ""surprise"": 0.001
",0,0,0,0,0,0.985,0.014,0.001,Neutral,64f8f89f-61df-47cb-9ef6-ae887d3a0baa,0.09,black,6
93,4,93,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,31288305-491b-4171-869e-ebbe0584cb5a,0.06,brown,4
94,9,94,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.998,
        ""sadness"": 0.001,
        ""surprise"": 0.001
",0,0,0,0,0,0.998,0.001,0.001,Neutral,bb9e822c-cc76-4279-bf77-7c301226c651,0.02,brown,9
95,4,95,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.999,
        ""neutral"": 0.0,
        ""sadness"": 0.001,
        ""surprise"": 0.0
",0,0,0,0,0.999,0,0.001,0,Happiness,8748363b-6c5a-40cf-9929-d8c1fda5020e,0.04,brown,4
96,3,96,"        ""anger"": 0.001,
        ""contempt"": 0.0,
        ""disgust"": 0.009,
        ""fear"": 0.0,
        ""happiness"": 0.99,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0.001,0,0.009,0,0.99,0,0,0,Happiness,a826c004-8864-47ef-b8dd-2639d89aab34,0.06,blond,3
97,0,97,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.951,
        ""sadness"": 0.006,
        ""surprise"": 0.042
",0,0,0,0,0.001,0.951,0.006,0.042,Neutral,9271df4c-4d6b-4b33-9d39-4875b8a28096,0.09,blond,0
98,0,98,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.002,
        ""happiness"": 0.0,
        ""neutral"": 0.084,
        ""sadness"": 0.0,
        ""surprise"": 0.912
",0,0,0,0.002,0,0.084,0,0.912,Sadness,d1a8c98d-e322-4518-850a-b6aa0456a6ad,0.05,blond,0
99,6,99,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,18af3372-6480-4bf9-be30-7826fae60606,0.02,blond,6
